heuristic,workload,configuration,metsla,sla,predict
OO,1000,1_c3_xlarge,false,20000,false
OO,1000,3_m3_medium,false,20000,false
OO,1000,2_m3_large,false,20000,false
OO,1000,1_m3_xlarge,false,20000,false
OO,1000,4_m3_medium,false,20000,false
OO,1000,3_c3_large,false,20000,false
OO,1000,2_c3_xlarge,false,20000,false
OO,1000,3_m3_large,false,20000,false
OO,1000,1_c3_2xlarge,false,20000,false
OO,1000,4_c3_large,false,20000,false
OO,1000,4_m3_large,false,20000,false
OO,1000,2_m3_xlarge,false,20000,false
OO,1000,1_m3_2xlarge,false,20000,false
OO,1000,3_c3_xlarge,false,20000,false
OO,1000,4_c3_xlarge,false,20000,false
OO,1000,2_c3_2xlarge,false,20000,false
OO,1000,3_m3_xlarge,false,20000,false
OO,1000,2_m3_2xlarge,false,20000,false
OO,1000,4_m3_xlarge,false,20000,false
OO,1000,3_c3_2xlarge,false,20000,false
OO,1000,4_c3_2xlarge,false,20000,false
OO,1000,3_m3_2xlarge,false,20000,false
OO,1000,4_m3_2xlarge,false,20000,false
OO,100,1_m3_medium,true,30000,false
OO,100,1_c3_large,true,30000,true
OO,100,1_m3_large,true,30000,true
OO,100,2_m3_medium,true,30000,true
OO,100,2_c3_large,true,30000,true
OO,100,1_c3_xlarge,true,30000,true
OO,100,3_m3_medium,true,30000,true
OO,100,2_m3_large,true,30000,true
OO,100,1_m3_xlarge,true,30000,true
OO,100,4_m3_medium,true,30000,true
OO,100,3_c3_large,true,30000,true
OO,100,2_c3_xlarge,true,30000,true
OO,100,3_m3_large,true,30000,true
OO,100,1_c3_2xlarge,true,30000,true
OO,100,4_c3_large,true,30000,true
OO,100,4_m3_large,true,30000,true
OO,100,2_m3_xlarge,true,30000,true
OO,100,1_m3_2xlarge,true,30000,true
OO,100,3_c3_xlarge,true,30000,true
OO,100,4_c3_xlarge,true,30000,true
OO,100,2_c3_2xlarge,true,30000,true
OO,100,3_m3_xlarge,true,30000,true
OO,100,2_m3_2xlarge,true,30000,true
OO,100,4_m3_xlarge,true,30000,true
OO,100,3_c3_2xlarge,true,30000,true
OO,100,4_c3_2xlarge,true,30000,true
OO,100,3_m3_2xlarge,true,30000,true
OO,100,4_m3_2xlarge,true,30000,true
OO,200,1_m3_medium,false,30000,false
OO,200,1_c3_large,true,30000,true
OO,200,1_m3_large,true,30000,true
OO,200,2_m3_medium,true,30000,false
OO,200,2_c3_large,true,30000,true
OO,200,1_c3_xlarge,true,30000,true
